label,cohort,feature,samples,non_null,non_null_pct
MORB,all,SIO2(WT%),7668,4861,63.3933
MORB,all,TIO2(WT%),7668,4975,64.88
MORB,all,AL2O3(WT%),7668,4847,63.2107
MORB,all,FEOT(WT%),7668,5008,65.3104
MORB,all,CAO(WT%),7668,4872,63.5368
MORB,all,MGO(WT%),7668,5014,65.3886
MORB,all,MNO(WT%),7668,4790,62.4674
MORB,all,K2O(WT%),7668,4979,64.9322
MORB,all,NA2O(WT%),7668,4925,64.228
MORB,all,P2O5(WT%),7668,4521,58.9593
MORB,all,V(PPM),7668,4099,53.4559
MORB,all,CR(PPM),7668,4369,56.977
MORB,all,NI(PPM),7668,3837,50.0391
MORB,all,RB(PPM),7668,4071,53.0908
MORB,all,SR(PPM),7668,4665,60.8372
MORB,all,Y(PPM),7668,4376,57.0683
MORB,all,ZR(PPM),7668,4502,58.7115
MORB,all,NB(PPM),7668,3974,51.8258
MORB,all,LA(PPM),7668,3674,47.9134
MORB,all,CE(PPM),7668,3312,43.1925
MORB,all,ND(PPM),7668,3329,43.4142
MORB,all,TH(PPM),7668,2647,34.5201
MORB,all,SM(PPM),7668,3622,47.2353
MORB,all,EU(PPM),7668,3539,46.1528
MORB,all,YB(PPM),7668,3462,45.1487
MORB,all,LU(PPM),7668,3186,41.5493
MORB,all,HF(PPM),7668,2667,34.7809
MORB,all,TA(PPM),7668,2449,31.9379
MORB,all,U(PPM),7668,2377,30.999
MORB,model_ready_broad,SIO2(WT%),3650,3650,100.0
MORB,model_ready_broad,TIO2(WT%),3650,3650,100.0
MORB,model_ready_broad,AL2O3(WT%),3650,3650,100.0
MORB,model_ready_broad,FEOT(WT%),3650,3650,100.0
MORB,model_ready_broad,CAO(WT%),3650,3650,100.0
MORB,model_ready_broad,MGO(WT%),3650,3650,100.0
MORB,model_ready_broad,MNO(WT%),3650,3650,100.0
MORB,model_ready_broad,K2O(WT%),3650,3650,100.0
MORB,model_ready_broad,NA2O(WT%),3650,3650,100.0
MORB,model_ready_broad,P2O5(WT%),3650,3650,100.0
MORB,model_ready_broad,V(PPM),3650,2969,81.3425
MORB,model_ready_broad,CR(PPM),3650,3141,86.0548
MORB,model_ready_broad,NI(PPM),3650,2927,80.1918
MORB,model_ready_broad,RB(PPM),3650,2999,82.1644
MORB,model_ready_broad,SR(PPM),3650,3462,94.8493
MORB,model_ready_broad,Y(PPM),3650,3354,91.8904
MORB,model_ready_broad,ZR(PPM),3650,3444,94.3562
MORB,model_ready_broad,NB(PPM),3650,3111,85.2329
MORB,model_ready_broad,LA(PPM),3650,2319,63.5342
MORB,model_ready_broad,CE(PPM),3650,2176,59.6164
MORB,model_ready_broad,ND(PPM),3650,2120,58.0822
MORB,model_ready_broad,TH(PPM),3650,1864,51.0685
MORB,model_ready_broad,SM(PPM),3650,2213,60.6301
MORB,model_ready_broad,EU(PPM),3650,2238,61.3151
MORB,model_ready_broad,YB(PPM),3650,2150,58.9041
MORB,model_ready_broad,LU(PPM),3650,1984,54.3562
MORB,model_ready_broad,HF(PPM),3650,1819,49.8356
MORB,model_ready_broad,TA(PPM),3650,1808,49.5342
MORB,model_ready_broad,U(PPM),3650,1641,44.9589
MORB,model_ready_immobile,SIO2(WT%),2302,2302,100.0
MORB,model_ready_immobile,TIO2(WT%),2302,2302,100.0
MORB,model_ready_immobile,AL2O3(WT%),2302,2302,100.0
MORB,model_ready_immobile,FEOT(WT%),2302,2302,100.0
MORB,model_ready_immobile,CAO(WT%),2302,2302,100.0
MORB,model_ready_immobile,MGO(WT%),2302,2302,100.0
MORB,model_ready_immobile,MNO(WT%),2302,2302,100.0
MORB,model_ready_immobile,K2O(WT%),2302,2302,100.0
MORB,model_ready_immobile,NA2O(WT%),2302,2302,100.0
MORB,model_ready_immobile,P2O5(WT%),2302,2302,100.0
MORB,model_ready_immobile,V(PPM),2302,1888,82.0156
MORB,model_ready_immobile,CR(PPM),2302,1941,84.318
MORB,model_ready_immobile,NI(PPM),2302,1708,74.1964
MORB,model_ready_immobile,RB(PPM),2302,1970,85.5778
MORB,model_ready_immobile,SR(PPM),2302,2217,96.3076
MORB,model_ready_immobile,Y(PPM),2302,2154,93.5708
MORB,model_ready_immobile,ZR(PPM),2302,2237,97.1764
MORB,model_ready_immobile,NB(PPM),2302,2096,91.0513
MORB,model_ready_immobile,LA(PPM),2302,2241,97.3501
MORB,model_ready_immobile,CE(PPM),2302,2133,92.6586
MORB,model_ready_immobile,ND(PPM),2302,2064,89.6612
MORB,model_ready_immobile,TH(PPM),2302,1842,80.0174
MORB,model_ready_immobile,SM(PPM),2302,2111,91.7029
MORB,model_ready_immobile,EU(PPM),2302,2198,95.4822
MORB,model_ready_immobile,YB(PPM),2302,2091,90.8341
MORB,model_ready_immobile,LU(PPM),2302,1949,84.6655
MORB,model_ready_immobile,HF(PPM),2302,1807,78.497
MORB,model_ready_immobile,TA(PPM),2302,1794,77.9322
MORB,model_ready_immobile,U(PPM),2302,1626,70.6342
ARC,all,SIO2(WT%),1694,1067,62.987
ARC,all,TIO2(WT%),1694,1034,61.039
ARC,all,AL2O3(WT%),1694,1028,60.6848
ARC,all,FEOT(WT%),1694,1030,60.8028
ARC,all,CAO(WT%),1694,1033,60.9799
ARC,all,MGO(WT%),1694,1034,61.039
ARC,all,MNO(WT%),1694,1024,60.4486
ARC,all,K2O(WT%),1694,1042,61.5112
ARC,all,NA2O(WT%),1694,1029,60.7438
ARC,all,P2O5(WT%),1694,907,53.5419
ARC,all,V(PPM),1694,899,53.0697
ARC,all,CR(PPM),1694,926,54.6635
ARC,all,NI(PPM),1694,652,38.4888
ARC,all,RB(PPM),1694,1056,62.3377
ARC,all,SR(PPM),1694,1109,65.4664
ARC,all,Y(PPM),1694,1005,59.327
ARC,all,ZR(PPM),1694,1048,61.8654
ARC,all,NB(PPM),1694,786,46.3991
ARC,all,LA(PPM),1694,755,44.5691
ARC,all,CE(PPM),1694,760,44.8642
ARC,all,ND(PPM),1694,774,45.6907
ARC,all,TH(PPM),1694,734,43.3294
ARC,all,SM(PPM),1694,783,46.222
ARC,all,EU(PPM),1694,753,44.451
ARC,all,YB(PPM),1694,752,44.392
ARC,all,LU(PPM),1694,737,43.5065
ARC,all,HF(PPM),1694,715,42.2078
ARC,all,TA(PPM),1694,658,38.843
ARC,all,U(PPM),1694,722,42.621
ARC,model_ready_broad,SIO2(WT%),754,754,100.0
ARC,model_ready_broad,TIO2(WT%),754,754,100.0
ARC,model_ready_broad,AL2O3(WT%),754,754,100.0
ARC,model_ready_broad,FEOT(WT%),754,754,100.0
ARC,model_ready_broad,CAO(WT%),754,754,100.0
ARC,model_ready_broad,MGO(WT%),754,754,100.0
ARC,model_ready_broad,MNO(WT%),754,754,100.0
ARC,model_ready_broad,K2O(WT%),754,754,100.0
ARC,model_ready_broad,NA2O(WT%),754,754,100.0
ARC,model_ready_broad,P2O5(WT%),754,754,100.0
ARC,model_ready_broad,V(PPM),754,630,83.5544
ARC,model_ready_broad,CR(PPM),754,659,87.4005
ARC,model_ready_broad,NI(PPM),754,406,53.8462
ARC,model_ready_broad,RB(PPM),754,723,95.8886
ARC,model_ready_broad,SR(PPM),754,746,98.939
ARC,model_ready_broad,Y(PPM),754,731,96.9496
ARC,model_ready_broad,ZR(PPM),754,734,97.3475
ARC,model_ready_broad,NB(PPM),754,607,80.504
ARC,model_ready_broad,LA(PPM),754,574,76.1273
ARC,model_ready_broad,CE(PPM),754,579,76.7905
ARC,model_ready_broad,ND(PPM),754,577,76.5252
ARC,model_ready_broad,TH(PPM),754,557,73.8727
ARC,model_ready_broad,SM(PPM),754,578,76.6578
ARC,model_ready_broad,EU(PPM),754,573,75.9947
ARC,model_ready_broad,YB(PPM),754,573,75.9947
ARC,model_ready_broad,LU(PPM),754,545,72.2812
ARC,model_ready_broad,HF(PPM),754,537,71.2202
ARC,model_ready_broad,TA(PPM),754,501,66.4456
ARC,model_ready_broad,U(PPM),754,551,73.0769
ARC,model_ready_immobile,SIO2(WT%),579,579,100.0
ARC,model_ready_immobile,TIO2(WT%),579,579,100.0
ARC,model_ready_immobile,AL2O3(WT%),579,579,100.0
ARC,model_ready_immobile,FEOT(WT%),579,579,100.0
ARC,model_ready_immobile,CAO(WT%),579,579,100.0
ARC,model_ready_immobile,MGO(WT%),579,579,100.0
ARC,model_ready_immobile,MNO(WT%),579,579,100.0
ARC,model_ready_immobile,K2O(WT%),579,579,100.0
ARC,model_ready_immobile,NA2O(WT%),579,579,100.0
ARC,model_ready_immobile,P2O5(WT%),579,579,100.0
ARC,model_ready_immobile,V(PPM),579,469,81.0017
ARC,model_ready_immobile,CR(PPM),579,496,85.6649
ARC,model_ready_immobile,NI(PPM),579,285,49.2228
ARC,model_ready_immobile,RB(PPM),579,562,97.0639
ARC,model_ready_immobile,SR(PPM),579,574,99.1364
ARC,model_ready_immobile,Y(PPM),579,572,98.791
ARC,model_ready_immobile,ZR(PPM),579,571,98.6183
ARC,model_ready_immobile,NB(PPM),579,556,96.0276
ARC,model_ready_immobile,LA(PPM),579,566,97.7547
ARC,model_ready_immobile,CE(PPM),579,573,98.9637
ARC,model_ready_immobile,ND(PPM),579,577,99.6546
ARC,model_ready_immobile,TH(PPM),579,557,96.2003
ARC,model_ready_immobile,SM(PPM),579,578,99.8273
ARC,model_ready_immobile,EU(PPM),579,573,98.9637
ARC,model_ready_immobile,YB(PPM),579,573,98.9637
ARC,model_ready_immobile,LU(PPM),579,545,94.1278
ARC,model_ready_immobile,HF(PPM),579,537,92.7461
ARC,model_ready_immobile,TA(PPM),579,501,86.5285
ARC,model_ready_immobile,U(PPM),579,551,95.1641
OIB,all,SIO2(WT%),3304,2000,60.5327
OIB,all,TIO2(WT%),3304,2010,60.8354
OIB,all,AL2O3(WT%),3304,2010,60.8354
OIB,all,FEOT(WT%),3304,2010,60.8354
OIB,all,CAO(WT%),3304,2010,60.8354
OIB,all,MGO(WT%),3304,2080,62.954
OIB,all,MNO(WT%),3304,1989,60.1998
OIB,all,K2O(WT%),3304,2035,61.592
OIB,all,NA2O(WT%),3304,2017,61.0472
OIB,all,P2O5(WT%),3304,2007,60.7446
OIB,all,V(PPM),3304,1126,34.0799
OIB,all,CR(PPM),3304,1068,32.3245
OIB,all,NI(PPM),3304,636,19.2494
OIB,all,RB(PPM),3304,1612,48.7893
OIB,all,SR(PPM),3304,1608,48.6683
OIB,all,Y(PPM),3304,1480,44.7942
OIB,all,ZR(PPM),3304,1491,45.1271
OIB,all,NB(PPM),3304,1378,41.707
OIB,all,LA(PPM),3304,1183,35.8051
OIB,all,CE(PPM),3304,1145,34.655
OIB,all,ND(PPM),3304,1132,34.2615
OIB,all,TH(PPM),3304,0,0.0
OIB,all,SM(PPM),3304,1117,33.8075
OIB,all,EU(PPM),3304,1065,32.2337
OIB,all,YB(PPM),3304,1068,32.3245
OIB,all,LU(PPM),3304,1069,32.3547
OIB,all,HF(PPM),3304,927,28.0569
OIB,all,TA(PPM),3304,862,26.0896
OIB,all,U(PPM),3304,950,28.753
OIB,model_ready_broad,SIO2(WT%),1281,1281,100.0
OIB,model_ready_broad,TIO2(WT%),1281,1281,100.0
OIB,model_ready_broad,AL2O3(WT%),1281,1281,100.0
OIB,model_ready_broad,FEOT(WT%),1281,1281,100.0
OIB,model_ready_broad,CAO(WT%),1281,1281,100.0
OIB,model_ready_broad,MGO(WT%),1281,1281,100.0
OIB,model_ready_broad,MNO(WT%),1281,1281,100.0
OIB,model_ready_broad,K2O(WT%),1281,1281,100.0
OIB,model_ready_broad,NA2O(WT%),1281,1281,100.0
OIB,model_ready_broad,P2O5(WT%),1281,1281,100.0
OIB,model_ready_broad,V(PPM),1281,989,77.2053
OIB,model_ready_broad,CR(PPM),1281,930,72.5995
OIB,model_ready_broad,NI(PPM),1281,559,43.6378
OIB,model_ready_broad,RB(PPM),1281,1268,98.9852
OIB,model_ready_broad,SR(PPM),1281,1277,99.6877
OIB,model_ready_broad,Y(PPM),1281,1215,94.8478
OIB,model_ready_broad,ZR(PPM),1281,1239,96.7213
OIB,model_ready_broad,NB(PPM),1281,1116,87.1194
OIB,model_ready_broad,LA(PPM),1281,840,65.5738
OIB,model_ready_broad,CE(PPM),1281,798,62.2951
OIB,model_ready_broad,ND(PPM),1281,792,61.8267
OIB,model_ready_broad,TH(PPM),1281,0,0.0
OIB,model_ready_broad,SM(PPM),1281,781,60.968
OIB,model_ready_broad,EU(PPM),1281,758,59.1725
OIB,model_ready_broad,YB(PPM),1281,762,59.4848
OIB,model_ready_broad,LU(PPM),1281,770,60.1093
OIB,model_ready_broad,HF(PPM),1281,719,56.128
OIB,model_ready_broad,TA(PPM),1281,677,52.8493
OIB,model_ready_broad,U(PPM),1281,700,54.6448
OIB,model_ready_immobile,SIO2(WT%),789,789,100.0
OIB,model_ready_immobile,TIO2(WT%),789,789,100.0
OIB,model_ready_immobile,AL2O3(WT%),789,789,100.0
OIB,model_ready_immobile,FEOT(WT%),789,789,100.0
OIB,model_ready_immobile,CAO(WT%),789,789,100.0
OIB,model_ready_immobile,MGO(WT%),789,789,100.0
OIB,model_ready_immobile,MNO(WT%),789,789,100.0
OIB,model_ready_immobile,K2O(WT%),789,789,100.0
OIB,model_ready_immobile,NA2O(WT%),789,789,100.0
OIB,model_ready_immobile,P2O5(WT%),789,789,100.0
OIB,model_ready_immobile,V(PPM),789,568,71.9899
OIB,model_ready_immobile,CR(PPM),789,573,72.6236
OIB,model_ready_immobile,NI(PPM),789,294,37.2624
OIB,model_ready_immobile,RB(PPM),789,779,98.7326
OIB,model_ready_immobile,SR(PPM),789,788,99.8733
OIB,model_ready_immobile,Y(PPM),789,765,96.9582
OIB,model_ready_immobile,ZR(PPM),789,776,98.3523
OIB,model_ready_immobile,NB(PPM),789,745,94.4233
OIB,model_ready_immobile,LA(PPM),789,789,100.0
OIB,model_ready_immobile,CE(PPM),789,784,99.3663
OIB,model_ready_immobile,ND(PPM),789,766,97.0849
OIB,model_ready_immobile,TH(PPM),789,0,0.0
OIB,model_ready_immobile,SM(PPM),789,761,96.4512
OIB,model_ready_immobile,EU(PPM),789,754,95.564
OIB,model_ready_immobile,YB(PPM),789,756,95.8175
OIB,model_ready_immobile,LU(PPM),789,753,95.4373
OIB,model_ready_immobile,HF(PPM),789,705,89.3536
OIB,model_ready_immobile,TA(PPM),789,676,85.6781
OIB,model_ready_immobile,U(PPM),789,686,86.9455
CIB,all,SIO2(WT%),1052,595,56.5589
CIB,all,TIO2(WT%),1052,591,56.1787
CIB,all,AL2O3(WT%),1052,596,56.654
CIB,all,FEOT(WT%),1052,595,56.5589
CIB,all,CAO(WT%),1052,597,56.749
CIB,all,MGO(WT%),1052,594,56.4639
CIB,all,MNO(WT%),1052,587,55.7985
CIB,all,K2O(WT%),1052,718,68.251
CIB,all,NA2O(WT%),1052,596,56.654
CIB,all,P2O5(WT%),1052,583,55.4183
CIB,all,V(PPM),1052,402,38.2129
CIB,all,CR(PPM),1052,425,40.3992
CIB,all,NI(PPM),1052,70,6.654
CIB,all,RB(PPM),1052,474,45.057
CIB,all,SR(PPM),1052,483,45.9125
CIB,all,Y(PPM),1052,460,43.7262
CIB,all,ZR(PPM),1052,504,47.9087
CIB,all,NB(PPM),1052,444,42.2053
CIB,all,LA(PPM),1052,429,40.7795
CIB,all,CE(PPM),1052,419,39.8289
CIB,all,ND(PPM),1052,386,36.692
CIB,all,TH(PPM),1052,401,38.1179
CIB,all,SM(PPM),1052,388,36.8821
CIB,all,EU(PPM),1052,380,36.1217
CIB,all,YB(PPM),1052,373,35.4563
CIB,all,LU(PPM),1052,368,34.981
CIB,all,HF(PPM),1052,366,34.7909
CIB,all,TA(PPM),1052,335,31.8441
CIB,all,U(PPM),1052,335,31.8441
CIB,model_ready_broad,SIO2(WT%),463,463,100.0
CIB,model_ready_broad,TIO2(WT%),463,463,100.0
CIB,model_ready_broad,AL2O3(WT%),463,463,100.0
CIB,model_ready_broad,FEOT(WT%),463,463,100.0
CIB,model_ready_broad,CAO(WT%),463,463,100.0
CIB,model_ready_broad,MGO(WT%),463,463,100.0
CIB,model_ready_broad,MNO(WT%),463,463,100.0
CIB,model_ready_broad,K2O(WT%),463,463,100.0
CIB,model_ready_broad,NA2O(WT%),463,463,100.0
CIB,model_ready_broad,P2O5(WT%),463,463,100.0
CIB,model_ready_broad,V(PPM),463,376,81.2095
CIB,model_ready_broad,CR(PPM),463,400,86.3931
CIB,model_ready_broad,NI(PPM),463,69,14.9028
CIB,model_ready_broad,RB(PPM),463,440,95.0324
CIB,model_ready_broad,SR(PPM),463,449,96.9762
CIB,model_ready_broad,Y(PPM),463,403,87.041
CIB,model_ready_broad,ZR(PPM),463,450,97.1922
CIB,model_ready_broad,NB(PPM),463,394,85.0972
CIB,model_ready_broad,LA(PPM),463,376,81.2095
CIB,model_ready_broad,CE(PPM),463,366,79.0497
CIB,model_ready_broad,ND(PPM),463,333,71.9222
CIB,model_ready_broad,TH(PPM),463,353,76.2419
CIB,model_ready_broad,SM(PPM),463,336,72.5702
CIB,model_ready_broad,EU(PPM),463,328,70.8423
CIB,model_ready_broad,YB(PPM),463,327,70.6263
CIB,model_ready_broad,LU(PPM),463,323,69.7624
CIB,model_ready_broad,HF(PPM),463,321,69.3305
CIB,model_ready_broad,TA(PPM),463,297,64.1469
CIB,model_ready_broad,U(PPM),463,288,62.203
CIB,model_ready_immobile,SIO2(WT%),335,335,100.0
CIB,model_ready_immobile,TIO2(WT%),335,335,100.0
CIB,model_ready_immobile,AL2O3(WT%),335,335,100.0
CIB,model_ready_immobile,FEOT(WT%),335,335,100.0
CIB,model_ready_immobile,CAO(WT%),335,335,100.0
CIB,model_ready_immobile,MGO(WT%),335,335,100.0
CIB,model_ready_immobile,MNO(WT%),335,335,100.0
CIB,model_ready_immobile,K2O(WT%),335,335,100.0
CIB,model_ready_immobile,NA2O(WT%),335,335,100.0
CIB,model_ready_immobile,P2O5(WT%),335,335,100.0
CIB,model_ready_immobile,V(PPM),335,296,88.3582
CIB,model_ready_immobile,CR(PPM),335,309,92.2388
CIB,model_ready_immobile,NI(PPM),335,53,15.8209
CIB,model_ready_immobile,RB(PPM),335,335,100.0
CIB,model_ready_immobile,SR(PPM),335,335,100.0
CIB,model_ready_immobile,Y(PPM),335,298,88.9552
CIB,model_ready_immobile,ZR(PPM),335,335,100.0
CIB,model_ready_immobile,NB(PPM),335,299,89.2537
CIB,model_ready_immobile,LA(PPM),335,335,100.0
CIB,model_ready_immobile,CE(PPM),335,335,100.0
CIB,model_ready_immobile,ND(PPM),335,326,97.3134
CIB,model_ready_immobile,TH(PPM),335,326,97.3134
CIB,model_ready_immobile,SM(PPM),335,331,98.806
CIB,model_ready_immobile,EU(PPM),335,327,97.6119
CIB,model_ready_immobile,YB(PPM),335,326,97.3134
CIB,model_ready_immobile,LU(PPM),335,322,96.1194
CIB,model_ready_immobile,HF(PPM),335,321,95.8209
CIB,model_ready_immobile,TA(PPM),335,297,88.6567
CIB,model_ready_immobile,U(PPM),335,277,82.6866
