citation_set,actual,n,correct,predicted_arc,predicted_cib,predicted_morb,predicted_oib,citation,sample_examples,countries,error_rate
3e9f0fc9b2f89e043bc6233994dfcf76,CIB,59,0,13,0,0,46,"Cancel-vazquez, S., Rooney, T., ... Steiner, R. (2024). Gombe Series and Pliocene Shield Basalts from the Turkana Depression, Kenya, East African Rift. null, null.",K09- 589 || KFW 0.2 || K84-2920 || KBY 2.2 || K86-2899,KENYA,1.0
c78c347465f4775425c059ea101c131f,CIB,49,0,0,0,0,49,"Rooney, T., Brown, E., ... Campisano, C. (2023). MAGMATISM DURING THE CONTINENT – OCEAN TRANSITION. EARTH AND PLANETARY SCIENCE LETTERS, 614, 118189.",2054 || 2129 || 2051 || 2059 || 2058,ETHIOPIA,1.0
8f04ac8eadb8a829a4c2117ade0f23da,CIB,33,0,2,0,2,29,"Hart, W., Woldegabriel, G., ... Mertzman, S. A. (1989). BASALTIC VOLCANISM IN ETHIOPIA: CONSTRAINTS ON CONTINENTAL RIFTING AND MANTLE INTERACTIONS. JOURNAL OF GEOPHYSICAL RESEARCH, 94(B6), 7731.",7627 || 76104 || 767 || 7610 || ET57,<UNRESOLVED> || ETHIOPIA,1.0
4607f7fff0dce694258e1c637512aa9d,CIB,28,0,0,0,0,28,"Bruhn, R., Brown, F., ... Haileab, B. (2011). PLIOCENE VOLCANO-TECTONICS AND PALEOGEOGRAPHY OF THE TURKANA BASIN, KENYA AND ETHIOPIA. JOURNAL OF AFRICAN EARTH SCIENCES, 59(2-3), 295-312.",K84-1815 || K90-4580 || K09-607 || K09-587 || K09-584,KENYA,1.0
1713a23c14b5033adb074b5464fb6c66,CIB,21,3,0,3,0,18,"Roberts, M. (2002). THE GEOCHEMICAL AND VOLCANOLOGICAL EVOLUTION OF THE MT. MERU REGION, NORTHERN TANZANIA. null, null.",MR63 || MR226 || MR105 || MR76 || MR258,TANZANIA,0.8571428571428572
dc0c398086fee58f9d64e1e47aa4e586,CIB,20,0,0,0,0,20,"Trua, T., Deniel, C., ... Mazzuoli, R. (1999). CRUSTAL CONTROL IN THE GENESIS OF PLIO-QUATERNARY BIMODAL MAGMATISM OF THE MAIN ETHIOPIAN RIFT (MER): GEOCHEMICAL AND ISOTOPIC (SR, ND, PB) EVIDENCE. CHEMICAL GEOLOGY, 155(3-4), 201-231.",LA30 || LA22 || GX7 || AS7 || AS20,ETHIOPIA,1.0
f7dafc45da369f8581fdf3bd599075aa,CIB,19,2,1,2,1,15,"Ayalew, D., Jung, S., ... Garbe-schönberg, D. (2018). TRACE ELEMENT SYSTEMATICS AND ND, SR AND PB ISOTOPES OF PLIOCENE FLOOD BASALT MAGMAS (ETHIOPIAN RIFT): A CASE FOR AFAR PLUME-LITHOSPHERE INTERACTION. CHEMICAL GEOLOGY, 493, 172-188.",CD3 || S4 || CD6 || S6 || S7,ETHIOPIA,0.8947368421052632
3e195b0793297114c668f772c6e2d9ba,CIB,14,0,0,0,2,12,"Di Vito, M., Isaia, R., ... Dell'erba, F. (2014). GENESIS AND EVOLUTION OF MAFIC AND FELSIC MAGMAS AT QUATERNARY VOLCANOES WITHIN THE MAIN ETHIOPIAN RIFT: INSIGHTS FROM GEDEMSA AND FANTA 'ALE COMPLEXES. LITHOS, 188, 130-144.",GDM 134A || GDM 102B || GDM 131C || GDM 142 || GDM 131B,ETHIOPIA,1.0
c04c19c2c2474dbf5f7ac4372c5b9af1,CIB,12,0,0,0,5,7,"Hutchison, W., Mather, T., ... Sims, K. W. W. (2018). THE EVOLUTION OF MAGMA DURING CONTINENTAL RIFTING: NEW CONSTRAINTS FROM THE ISOTOPIC AND TRACE ELEMENT SIGNATURES OF SILICIC MAGMAS FROM ETHIOPIAN VOLCANOES. EARTH AND PLANETARY SCIENCE LETTERS, 489, 203-218.",3-31 || BAD 4 || 01 11 || 25 01 || 4-21,ETHIOPIA,1.0
04c6906524cd877e833fe26ddaddc62f,CIB,9,0,0,0,0,9,"Boccaletti, M., Mazzuoli, R., ... Abebe, B. (1999). PLIO-QUATERNARY VOLCANOTECTONIC ACTIVITY IN THE NORTHERN SECTOR OF THE MAIN ETHIOPIAN RIFT: RELATIONSHIPS WITH OBLIQUE RIFTING. JOURNAL OF AFRICAN EARTH SCIENCES, 29(4), 679-698.",Ge54 || GE122 || Ge101 || LA37 || GE77,ETHIOPIA,1.0
7f6caf1f0ba788cd7953d817724c2b6e,CIB,8,0,0,0,1,7,"Scott, S., Bailey, D. (1984). COERUPTION OF CONTRASTING MAGMAS AND TEMPORAL VARIATIONS IN MAGMA CHEMISTRY AT LONGONOT VOLCANO, CENTRAL KENYA. BULLETIN VOLCANOLOGIQUE, 47(4), 849-873.",117 || 98 || 154A || 163 || 223,KENYA,1.0
6e7b33fdea3adc80ebd648fffb665bb8,MORB,8,1,0,0,1,7,"Barrat, J. A., Jahn, B. M., ... Joron, J. (1993). MAGMA GENESIS IN AN ONGOING RIFTING ZONE: THE TADJOURA GULF (AFAR AREA). GEOCHIM COSMOCHIM ACTA, 57, 2291-2302.",S314 || 7047 || 115-10 || 6883 || TF 727,DJIBOUTI,0.875
34306d99c63613fad5b2a140398c0420,CIB,6,0,0,0,0,6,"Woldegabriel, G., White, T., ... Walter, R. (1992). KESEM-KEBENA: A NEWLY DISCOVERED PALEOANTHROPOLOGICAL RESEARCH AREA IN ETHIOPIA. JOURNAL OF FIELD ARCHAEOLOGY, 19(4), 471.",89KK-2A || 89K-2 || 89K-1 || 89KK-2E || 89K-10,ETHIOPIA,1.0
582967e09f1b30ca2539968da0a174fa,CIB,6,0,0,0,0,6,"Iddon, F., Jackson, C., ... Edmonds, M. (2019). MIXING AND CRYSTAL SCAVENGING IN THE MAIN ETHIOPIAN RIFT REVEALED BY TRACE ELEMENT SYSTEMATICS IN FELDSPARS AND GLASSES. GEOCHEMISTRY, GEOPHYSICS, GEOSYSTEMS, 20(1), 230-259.",MER133A || F49 || MER136A || F12 || MER138A,ETHIOPIA,1.0
9fe4e15b3924b1a78221734d0c063ae7,CIB,6,0,0,0,0,6,"Barberi, F., Ferrara, G., ... Varet, J. (1975). A TRANSITIONAL BASALT-PANTELLERITE SEQUENCE OF FRACTIONAL CRYSTALLIZATION, THE BOINA CENTRE (AFAR RIFT, ETHIOPIA). JOURNAL OF PETROLOGY, 16(1), 22-56.",S40 || S44 || S51 || S46 || G495,ETHIOPIA,1.0
c6ede20e6f597abf4b3f6bb30cee16c7,CIB,6,0,0,0,0,6,"Molendijk, S., Namur, O., ... Neave, D. (2025). MANTLE SOURCES UNDERLYING NYIRAGONGO VOLCANO. CHEMICAL GEOLOGY, 675, 122607.",NY17-217 || NY17-218 || NY17-141 || NY17-140 || NY17-132,DEMOCRATIC REPUBLIC OF THE CONGO,1.0
d403137434343677b98efc88cbd5493d,MORB,6,0,0,0,0,6,"Molendijk, S., Namur, O., ... Neave, D. (2024). MANTLE SOURCES UNDERLYING NYIRAGONGO VOLCANO. CHEMICAL GEOLOGY, 122607.",Ny17-142 || Ny17-141 || Ny17-218 || Ny17-132 || Ny17-217,DEMOCRATIC REPUBLIC OF THE CONGO,1.0
fcde14913c766cf307c75059e0e89af5,CIB,6,0,0,0,0,6,"Tadesse, A., Ayalew, D., ... Fontijn, K. (2019). MAGMATIC EVOLUTION OF THE BOKU VOLCANIC COMPLEX, MAIN ETHIOPIAN RIFT. JOURNAL OF AFRICAN EARTH SCIENCES, 149, 109-130.",NB-04 || NB-02 || NB-06 || NB-01 || NB-07,ETHIOPIA,1.0
3bc3e78c17d35e74ecfae5e475d960d7,CIB,5,0,0,0,0,5,"Weaver, S. D. (1977). THE QUATERNARY CALDERA VOLCANO EMURUANGOGOLAK, KENYA RIFT, AND THE PETROLOGY OF A BIMODAL FERROBASALT-PANTELLERITIC TRACHYTE ASSOCIATION. BULLETIN VOLCANOLOGIQUE, 40(4), 209-230.",S107 || S50 || S19 || S88 || S20,KENYA,1.0
494c08f7a144d3cc4cfa661ed1244039,CIB,5,0,3,0,2,0,"Peccerillo, A., Barberio, M., ... Wu, T. (2003). RELATIONSHIPS BETWEEN MAFIC AND PERALKALINE SILICIC MAGMATISM IN CONTINENTAL RIFT SETTINGS: A PETROLOGICAL, GEOCHEMICAL AND ISOTOPIC STUDY OF THE GEDEMSA VOLCANO, CENTRAL ETHIOPIAN RIFT. JOURNAL OF PETROLOGY, 44(11), 2003-2032.",GD64 || GD80C || GDCS1 || GD65 || GD3,ETHIOPIA,1.0
1f9b616faddedc02339603f3b37d196c,CIB,4,0,0,0,1,3,"George, R., Rogers, N. W. (1999). THE PETROGENESIS OF PLIO-PLEISTOCENE ALKALINE VOLCANIC ROCKS FROM THE TOSA SUCHA REGION, ARBA MINCH, SOUTHERN MAIN ETHIOPIAN RIFT. ACTA VULCANOLOGICA, 11(1), 121-130.",RG 93-48 || RG 93-42B || RG 93-42A || RG- 93-41,ETHIOPIA,1.0
40cccad2ac57c29035a432356f3c978d,CIB,4,0,0,0,0,4,"Mollel, G. F., Swisher Iii, C. C., ... Carr, M. J. (2010). PETROLOGY, GEOCHEMISTRY AND AGE OF SATIMAN, LEMAGURUT AND OLDEANI: SOURCES OF THE VOLCANIC DEPOSITS OF THE LAETOLI AREA. PALEONTOLOGY AND GEOLOGY OF LAETOLI: HUMAN EVOLUTION IN CONTEXT"",""VERTEBRATE PALEOBIOLOGY AND PALEOANTHROPOLOGY, 99-119.",04-OG-2 || 04-OG-4 || 04-OG-3 || 04-OG-1,TANZANIA,1.0
dc2208f9bbd11486d5dbbb9218e03017,CIB,4,0,0,0,0,4,"Cooper, J. (1972). GEOCHEMISTRY OF TAROSERO VOLCANO, NORTHERN TANZANIA. null, null.",BD 523 || BD 280 || BD 524 || BD 474,TANZANIA,1.0
f2c3b258e9cd8ba16e18f319b3c88c66,CIB,4,0,0,0,0,4,"Davidson, J. P., Wilson, I. (1989). EVOLUTION OF AN ALKALI BASALT—TRACHYTE SUITE FROM JEBEL MARRA VOLCANO, SUDAN, THROUGH ASSIMILATION AND FRACTIONAL CRYSTALLIZATION. EARTH AND PLANETARY SCIENCE LETTERS, 95(1-2), 141-160.",X63 || X88 || X105 || X121,SUDAN,1.0
18a4e1366eb78af25ed5cfc306e8f873,CIB,3,0,0,0,0,3,"Kabeto, K., Sawada, Y., ... Wakatsuki, T. (2001). DIFFERENT EVOLUTION TRENDS IN ALKALINE EVOLVED LAVAS FROM THE NORTHERN KENYA RIFT. JOURNAL OF AFRICAN EARTH SCIENCES, 32(3), 419-433.",NA1 || TIR4 || AK6,KENYA,1.0
258e130476290221f597c56d351224b6,CIB,3,0,0,0,1,2,"Ronga, F., Lustrino, M., ... Melluso, L. (2009). PETROGENESIS OF A BASALT-COMENDITE-PANTELLERITE ROCK SUITE: THE BOSETI VOLCANIC COMPLEX (MAIN ETHIOPIAN RIFT). MINERALOGY AND PETROLOGY, 98(1-4), 227-243.",B458 || B268 || B330,ETHIOPIA,1.0
6c0958d82a830a02c0718147b1b565c1,CIB,3,0,0,0,2,1,"Field, L., Brooker, R. A., ... Saunders, K. (2012). INTEGRATED FIELD, SATELLITE AND PETROLOGICAL OBSERVATIONS OF THE NOVEMBER 2010 ERUPTION OF ERTA ALE. BULLETIN OF VOLCANOLOGY, 74(10), 2251-2271.",EA002 || EA001 || EA003,ETHIOPIA,1.0
91f9fec9b080c74297a55c392b5f40a4,CIB,2,0,0,0,0,2,"White, J., Espejel-garcia, V., ... Omenda, P. (2012). OPEN SYSTEM EVOLUTION OF PERALKALINE TRACHYTE AND PHONOLITE FROM THE SUSWA VOLCANO, KENYA RIFT. LITHOS, 152, 84-104.",ES8 || ES12,KENYA,1.0
9a02387b02ce7de2dac4b925892f68fb,CIB,2,0,0,0,0,2,"Abebe, T., Mazzarini, F., ... Manetti, P. (1998). THE YERER-TULLU WELLEL VOLCANOTECTONIC LINEAMENT: A TRANSTENSIONAL STRUCTURE IN CENTRAL ETHIOPIA AND THE ASSOCIATED MAGMATIC ACTIVITY. JOURNAL OF AFRICAN EARTH SCIENCES, 26(1), 135-150.",ETS58 || ETS122,ETHIOPIA,1.0
a34e1ddbb4d329167f50992ba59fe45a,CIB,2,0,0,0,2,0,"Mibei, G., Hardarson, B. S., ... Gudfinnsson, G. (2021). ERUPTIVE HISTORY AND VOLCANO-TECTONIC EVOLUTION OF PAKA VOLCANIC COMPLEX IN THE NORTHERN KENYA RIFT: INSIGHTS INTO THE GEOTHERMAL HEAT SOURCE. JOURNAL OF AFRICAN EARTH SCIENCES, 173, 103951.",PK-20 || PK-M1,KENYA,1.0
1343777b8ead1cef5a79b78a1a48d805,CIB,1,0,0,0,0,1,"Mollel, G. F., Feigenson, M. D., ... Swisher Iii, C. C. (2008). GEOCHEMICAL EVOLUTION OF NGORONGORO CALDERA, NORTHERN TANZANIA: IMPLICATIONS FOR CRUST–MAGMA INTERACTION. EARTH AND PLANETARY SCIENCE LETTERS, 271(1-4), 337-347.",NG8,TANZANIA,1.0
5c151c2a9b76f9ef26d7e0f0d00c9a89,CIB,1,0,0,0,0,1,"Hutchison, W., Pyle, D., ... Lewi, E. (2016). THE ERUPTIVE HISTORY AND MAGMATIC EVOLUTION OF ALUTO VOLCANO: NEW INSIGHTS INTO SILICIC PERALKALINE VOLCANISM IN THE ETHIOPIAN RIFT. JOURNAL OF VOLCANOLOGY AND GEOTHERMAL RESEARCH, 328, 9-33.",S-2,ETHIOPIA,1.0
5e7264477cf9b6b237a0d254cf0324e2,CIB,1,0,0,0,0,1,"Aronson, J., Walter, R. (1982). REVISIONS OF K/AR AGES FOR THE HADAR HOMINID SITE, ETHIOPIA. NATURE, 296, 122-127.",KM76-5,ETHIOPIA,1.0
a3048e47310d6efaa4b1eaf55227bc92,CIB,1,0,0,0,0,1,"Asfaw, B., Beyene, Y., ... Woldegabriel, G. (1991). FEJEJ: A NEW PALEOANTHROPOLOGICAL RESEARCH AREA IN ETHIOPIA. JOURNAL OF HUMAN EVOLUTION, 21(2), 137-143.",89FJ-B,ETHIOPIA,1.0
