cv_strategy,fold,model,train_n,test_n,fit_seconds,accuracy,balanced_accuracy,macro_f1,weighted_f1,log_loss
random_stratified,1,dummy_prior,4918,1230,0.0278,0.5934959349593496,0.25,0.18622448979591838,0.44209391073502574,1.0890561414637598
random_stratified,1,logistic_balanced,4918,1230,0.1162,0.9048780487804878,0.8923386408986367,0.8634363512525316,0.9070620015074645,0.3051137604842416
random_stratified,1,random_forest_balanced,4918,1230,0.6364,0.9520325203252032,0.9390648510531254,0.9239361225056508,0.9528119922316632,0.1928655199360333
random_stratified,2,dummy_prior,4918,1230,0.0254,0.5934959349593496,0.25,0.18622448979591838,0.44209391073502574,1.0890561414637598
random_stratified,2,logistic_balanced,4918,1230,0.1085,0.9048780487804878,0.8868953066593287,0.8575491643830466,0.9076337466538658,0.29824876552600066
random_stratified,2,random_forest_balanced,4918,1230,0.7462,0.9609756097560975,0.9437466923311741,0.9385266434100547,0.9611489511464435,0.18596855198741286
random_stratified,3,dummy_prior,4918,1230,0.0519,0.5934959349593496,0.25,0.18622448979591838,0.44209391073502574,1.0890561414637598
random_stratified,3,logistic_balanced,4918,1230,0.1528,0.9138211382113821,0.8926825458623782,0.872984469549104,0.91566206322438,0.28035020747365186
random_stratified,3,random_forest_balanced,4918,1230,0.6937,0.9658536585365853,0.9556106432959944,0.9515242875703765,0.9660542019955556,0.1785767086492517
random_stratified,4,dummy_prior,4919,1229,0.046,0.5939788445890968,0.25,0.18631955079122,0.44267948601331364,1.0878384535978214
random_stratified,4,logistic_balanced,4919,1229,0.0986,0.9096826688364524,0.9031598117227221,0.8678840706762292,0.9129195589648631,0.2888705527000341
random_stratified,4,random_forest_balanced,4919,1229,0.6701,0.9641985353946297,0.9491307977834883,0.9409438877422822,0.9645374917555957,0.18841939997746582
random_stratified,5,dummy_prior,4919,1229,0.031,0.5939788445890968,0.25,0.18631955079122,0.44267948601331364,1.0874086514978094
random_stratified,5,logistic_balanced,4919,1229,0.1068,0.9137510170870626,0.9154892356870442,0.8813368943047468,0.9158034310367071,0.2485295680863313
random_stratified,5,random_forest_balanced,4919,1229,0.6948,0.9723352318958502,0.9666263927095139,0.9579825049587758,0.9725020525432397,0.1778738345619266
citation_set_grouped,1,dummy_prior,4918,1230,0.0446,0.5934959349593496,0.25,0.18622448979591838,0.44209391073502574,1.0890561414637598
citation_set_grouped,1,logistic_balanced,4918,1230,0.1161,0.8170731707317073,0.8034958350007901,0.7648326748182575,0.8219541815512501,0.46005546513919254
citation_set_grouped,1,random_forest_balanced,4918,1230,0.7346,0.8178861788617886,0.7900572492486385,0.7729890321914933,0.8124985333848027,0.48595799042970916
citation_set_grouped,2,dummy_prior,4918,1230,0.0482,0.5934959349593496,0.25,0.18622448979591838,0.44209391073502574,1.0890561414637598
citation_set_grouped,2,logistic_balanced,4918,1230,0.1006,0.8910569105691057,0.8088277958144579,0.8068774352125273,0.8929339003687727,0.460597757708391
citation_set_grouped,2,random_forest_balanced,4918,1230,0.6076,0.9113821138211382,0.8330403764910174,0.8442606574650295,0.909866719015143,0.2849240977777727
citation_set_grouped,3,dummy_prior,4919,1229,0.0419,0.5939788445890968,0.25,0.18631955079122,0.44267948601331364,1.0874086514978094
citation_set_grouped,3,logistic_balanced,4919,1229,0.0948,0.8486574450772986,0.8184824806162028,0.7746805179285622,0.8567482897000012,0.4651188076812016
citation_set_grouped,3,random_forest_balanced,4919,1229,0.585,0.9056143205858421,0.8057134210731636,0.8351227033684819,0.9019261018690077,0.2897568454347058
citation_set_grouped,4,dummy_prior,4919,1229,0.032,0.5939788445890968,0.25,0.18631955079122,0.44267948601331364,1.0878384535978214
citation_set_grouped,4,logistic_balanced,4919,1229,0.1112,0.8340113913751017,0.7965008556405283,0.769127458351613,0.8375601633543003,0.8242373535920843
citation_set_grouped,4,random_forest_balanced,4919,1229,0.6673,0.8885272579332791,0.8155183199579732,0.8149021425488168,0.8880347626610713,0.3683086796414817
citation_set_grouped,5,dummy_prior,4918,1230,0.0393,0.5934959349593496,0.25,0.18622448979591838,0.44209391073502574,1.0890561414637598
citation_set_grouped,5,logistic_balanced,4918,1230,0.1275,0.859349593495935,0.8308991592390154,0.7968484250533727,0.8631401105111202,0.5232545116218625
citation_set_grouped,5,random_forest_balanced,4918,1230,0.6628,0.8910569105691057,0.8315113340346407,0.823498538976324,0.8913967208820641,0.3834655368516838
citation_overlap_conservative,1,dummy_prior,4918,1230,0.0259,0.5934959349593496,0.25,0.18622448979591838,0.44209391073502574,1.0890561414637598
citation_overlap_conservative,1,logistic_balanced,4918,1230,0.1025,0.8373983739837398,0.7868483524703723,0.7692522497878378,0.8405274732245106,0.6105962880985016
citation_overlap_conservative,1,random_forest_balanced,4918,1230,0.6278,0.8813008130081301,0.7840952376336282,0.8050827705211325,0.8783225738937591,0.35685879210049815
citation_overlap_conservative,2,dummy_prior,4918,1230,0.0312,0.5934959349593496,0.25,0.18622448979591838,0.44209391073502574,1.0890561414637598
citation_overlap_conservative,2,logistic_balanced,4918,1230,0.094,0.8235772357723578,0.7924635437395563,0.7612522882650986,0.8336445647606896,0.5285823251817137
citation_overlap_conservative,2,random_forest_balanced,4918,1230,0.5596,0.8764227642276423,0.8406660125404335,0.8110683127594117,0.8822619717459819,0.3807312818659781
citation_overlap_conservative,3,dummy_prior,4918,1230,0.0235,0.5934959349593496,0.25,0.18622448979591838,0.44209391073502574,1.0890561414637598
citation_overlap_conservative,3,logistic_balanced,4918,1230,0.092,0.816260162601626,0.7232581658971978,0.7188039648188,0.8146178635569816,1.0543697682215118
citation_overlap_conservative,3,random_forest_balanced,4918,1230,0.662,0.8333333333333334,0.7384467511844734,0.743926590021756,0.8325361231185703,0.4725465107492266
citation_overlap_conservative,4,dummy_prior,4919,1229,0.0408,0.5939788445890968,0.25,0.18631955079122,0.44267948601331364,1.0874086514978094
citation_overlap_conservative,4,logistic_balanced,4919,1229,0.095,0.8527257933279089,0.8470281492828554,0.7797120137453846,0.8614950390597489,0.4417931144030633
citation_overlap_conservative,4,random_forest_balanced,4919,1229,0.6046,0.9072416598860863,0.8560523526680772,0.8508541088718107,0.9065737846667097,0.3031569230748903
citation_overlap_conservative,5,dummy_prior,4919,1229,0.0337,0.5939788445890968,0.25,0.18631955079122,0.44267948601331364,1.0878384535978214
citation_overlap_conservative,5,logistic_balanced,4919,1229,0.1,0.8803905614320586,0.8339043530276615,0.8151380465117516,0.8824529853360858,0.3755430132668685
citation_overlap_conservative,5,random_forest_balanced,4919,1229,0.557,0.8991049633848658,0.8241316606039151,0.8360043766337619,0.8970192808037634,0.32955698313532905
location_root_grouped,1,dummy_prior,4949,1199,0.0275,0.6538782318598833,0.25,0.19768028240040342,0.5170353341181527,0.9834222740224604
location_root_grouped,1,logistic_balanced,4949,1199,0.0992,0.8073394495412844,0.8506721672639241,0.6957154152503529,0.8293733872082004,0.547264101745886
location_root_grouped,1,random_forest_balanced,4949,1199,0.5593,0.8532110091743119,0.8329834886654931,0.7742434038055305,0.8420774677098283,0.4291435632242599
location_root_grouped,2,dummy_prior,4758,1390,0.0271,0.47050359712230216,0.25,0.15998043052837574,0.3010854721311014,1.628654511345146
location_root_grouped,2,logistic_balanced,4758,1390,0.0904,0.7467625899280576,0.7419833940968007,0.7023373156594361,0.7384971485370236,1.4357699275511684
location_root_grouped,2,random_forest_balanced,4758,1390,0.5807,0.7165467625899281,0.7122086402158538,0.6449981377686242,0.6501382690845727,0.6958827327256867
location_root_grouped,3,dummy_prior,4991,1157,0.0289,0.5661192739844425,0.25,0.18073951434878588,0.40928049057374155,1.0838943690115703
location_root_grouped,3,logistic_balanced,4991,1157,0.0916,0.8072601555747623,0.7405822020353642,0.6733272833243291,0.8384255798656013,0.5005188609422738
location_root_grouped,3,random_forest_balanced,4991,1157,0.5876,0.8513396715643907,0.8474817909960218,0.7436477636904071,0.8695145428032773,0.5029364307729121
location_root_grouped,4,dummy_prior,4834,1314,0.0418,0.6841704718417048,0.25,0.20311793944871215,0.5558691858885608,0.9496704511650339
location_root_grouped,4,logistic_balanced,4834,1314,0.1064,0.939117199391172,0.7074788650515499,0.7241288143358894,0.9403727214873653,0.3697409872938525
location_root_grouped,4,random_forest_balanced,4834,1314,0.6247,0.958904109589041,0.7779095155651379,0.7831541965863246,0.9607772986881611,0.17903886284412016
location_root_grouped,5,dummy_prior,5060,1088,0.0275,0.6047794117647058,0.25,0.1884306987399771,0.4558360285695034,1.0513610369831365
location_root_grouped,5,logistic_balanced,5060,1088,0.1074,0.875,0.8179279546866616,0.8094739271011224,0.8759419273666238,0.5820700363411109
location_root_grouped,5,random_forest_balanced,5060,1088,0.625,0.8759191176470589,0.7887081133049912,0.8026025111278795,0.8744976554624564,0.3910296373364362
